Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AL,Alabama,1," 544,464 "," 3,424 "," 104,060 "," 2,412 ", 19.1 , 0.4 ," 125,900 "," 2,538 ", 23.1 , 0.5 ," 188,031 "," 3,186 ", 34.5 , 0.5 ," 126,473 "," 1,797 ", 23.2 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AL,Alabama,2," 516,295 "," 5,674 "," 109,222 "," 2,918 ", 21.2 , 0.5 ," 118,999 "," 3,146 ", 23.0 , 0.5 ," 173,351 "," 3,069 ", 33.6 , 0.5 ," 114,723 "," 2,059 ", 22.2 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,3," 543,854 "," 4,099 "," 121,328 "," 2,379 ", 22.3 , 0.4 ," 121,212 "," 3,483 ", 22.3 , 0.6 ," 182,379 "," 3,899 ", 33.5 , 0.7 ," 118,935 "," 1,851 ", 21.9 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AL,Alabama,4," 515,701 "," 4,678 "," 95,990 "," 2,777 ", 18.6 , 0.5 ," 114,921 "," 2,560 ", 22.3 , 0.5 ," 177,247 "," 3,022 ", 34.4 , 0.5 ," 127,543 "," 2,309 ", 24.7 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AL,Alabama,5," 551,968 "," 2,121 "," 109,986 "," 1,624 ", 19.9 , 0.3 ," 129,788 "," 1,913 ", 23.5 , 0.3 ," 193,348 "," 1,995 ", 35.0 , 0.4 ," 118,846 "," 1,412 ", 21.5 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AL,Alabama,6," 535,753 "," 7,635 "," 101,646 "," 4,222 ", 19.0 , 0.7 ," 133,635 "," 4,599 ", 24.9 , 0.8 ," 182,710 "," 4,171 ", 34.1 , 0.6 ," 117,762 "," 2,727 ", 22.0 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AL,Alabama,7," 504,177 "," 9,052 "," 126,572 "," 5,253 ", 25.1 , 0.8 ," 114,337 "," 5,109 ", 22.7 , 1.0 ," 162,887 "," 5,505 ", 32.3 , 0.9 ," 100,381 "," 3,261 ", 19.9 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AK,Alaska,At-large," 532,244 "," 2,539 "," 127,476 "," 1,829 ", 24.0 , 0.3 ," 144,647 "," 2,629 ", 27.2 , 0.5 ," 174,789 "," 3,032 ", 32.8 , 0.5 ," 85,332 "," 1,468 ", 16.0 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AZ,Arizona,1," 568,661 "," 9,203 "," 124,100 "," 4,886 ", 21.8 , 0.7 ," 129,362 "," 4,892 ", 22.7 , 0.8 ," 169,734 "," 4,410 ", 29.8 , 0.6 ," 145,465 "," 4,443 ", 25.6 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AZ,Arizona,2," 550,044 "," 9,439 "," 116,061 "," 6,026 ", 21.1 , 0.9 ," 114,471 "," 3,938 ", 20.8 , 0.7 ," 166,939 "," 4,774 ", 30.4 , 0.7 ," 152,573 "," 4,037 ", 27.7 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AZ,Arizona,3," 500,787 "," 12,277 "," 146,929 "," 7,152 ", 29.3 , 1.1 ," 122,468 "," 6,742 ", 24.5 , 1.2 ," 143,475 "," 5,931 ", 28.6 , 1.0 ," 87,915 "," 5,424 ", 17.6 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AZ,Arizona,4," 633,528 "," 10,386 "," 95,038 "," 5,092 ", 15.0 , 0.7 ," 118,494 "," 4,302 ", 18.7 , 0.6 ," 201,308 "," 5,612 ", 31.8 , 0.7 ," 218,688 "," 4,390 ", 34.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AZ,Arizona,5," 587,681 "," 10,348 "," 106,103 "," 6,236 ", 18.1 , 1.0 ," 155,762 "," 5,177 ", 26.5 , 0.9 ," 190,794 "," 6,636 ", 32.5 , 0.9 ," 135,022 "," 5,635 ", 23.0 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
