Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
1,AL,Alabama,1," 544,464 "," 3,424 "," 13,409 "," 1,845 ", 2.5 , 0.3 ," 57,234 "," 4,433 ", 10.5 , 0.8 ," 185,503 "," 6,968 ", 34.1 , 1.2 ," 122,236 "," 6,275 ", 22.5 , 1.2 ," 42,603 "," 3,561 ", 7.8 , 0.6 ," 82,971 "," 5,147 ", 15.2 , 1.0 ," 40,508 "," 3,710 ", 7.4 , 0.7 ," 473,821 "," 5,794 ", 87.0 , 0.9 ," 123,479 "," 5,614 ", 22.7 , 1.1 ,
2,AL,Alabama,2," 516,295 "," 5,674 "," 18,295 "," 2,059 ", 3.5 , 0.4 ," 53,192 "," 3,981 ", 10.3 , 0.8 ," 172,427 "," 6,215 ", 33.4 , 1.1 ," 119,350 "," 5,038 ", 23.1 , 1.0 ," 45,677 "," 3,467 ", 8.8 , 0.7 ," 69,082 "," 4,208 ", 13.4 , 0.8 ," 38,272 "," 2,888 ", 7.4 , 0.6 ," 444,808 "," 6,761 ", 86.2 , 0.9 ," 107,354 "," 5,009 ", 20.8 , 1.0 ,
3,AL,Alabama,3," 543,854 "," 4,099 "," 19,578 "," 2,504 ", 3.6 , 0.5 ," 56,833 "," 4,646 ", 10.5 , 0.9 ," 174,209 "," 6,786 ", 32.0 , 1.2 ," 142,705 "," 6,806 ", 26.2 , 1.2 ," 45,713 "," 4,020 ", 8.4 , 0.7 ," 63,916 "," 4,810 ", 11.8 , 0.9 ," 40,900 "," 3,656 ", 7.5 , 0.7 ," 467,443 "," 6,717 ", 86.0 , 1.0 ," 104,816 "," 6,147 ", 19.3 , 1.1 ,
4,AL,Alabama,4," 515,701 "," 4,678 "," 24,346 "," 2,997 ", 4.7 , 0.6 ," 57,850 "," 3,966 ", 11.2 , 0.8 ," 175,806 "," 6,423 ", 34.1 , 1.3 ," 121,739 "," 5,447 ", 23.6 , 1.0 ," 51,436 "," 3,866 ", 10.0 , 0.7 ," 52,697 "," 3,625 ", 10.2 , 0.7 ," 31,827 "," 2,643 ", 6.2 , 0.5 ," 433,505 "," 6,247 ", 84.1 , 1.0 ," 84,524 "," 4,487 ", 16.4 , 0.8 ,
5,AL,Alabama,5," 551,968 "," 2,121 "," 14,908 "," 2,282 ", 2.7 , 0.4 ," 43,805 "," 4,016 ", 7.9 , 0.7 ," 151,609 "," 5,046 ", 27.5 , 0.9 ," 123,272 "," 5,616 ", 22.3 , 1.0 ," 45,097 "," 3,977 ", 8.2 , 0.7 ," 113,417 "," 5,380 ", 20.5 , 1.0 ," 59,860 "," 4,136 ", 10.8 , 0.8 ," 493,255 "," 5,090 ", 89.4 , 0.8 ," 173,277 "," 6,244 ", 31.4 , 1.1 ,
6,AL,Alabama,6," 535,753 "," 7,635 "," 11,300 "," 2,173 ", 2.1 , 0.4 ," 36,957 "," 3,501 ", 6.9 , 0.6 ," 140,443 "," 6,392 ", 26.2 , 1.2 ," 123,459 "," 5,862 ", 23.0 , 1.1 ," 40,976 "," 4,277 ", 7.6 , 0.8 ," 117,006 "," 5,281 ", 21.8 , 0.9 ," 65,612 "," 4,420 ", 12.2 , 0.8 ," 487,496 "," 7,970 ", 91.0 , 0.8 ," 182,618 "," 7,144 ", 34.1 , 1.2 ,
7,AL,Alabama,7," 504,177 "," 9,052 "," 16,616 "," 1,923 ", 3.3 , 0.4 ," 55,234 "," 5,319 ", 11.0 , 1.0 ," 168,045 "," 8,111 ", 33.3 , 1.5 ," 133,839 "," 6,148 ", 26.5 , 1.2 ," 39,302 "," 4,144 ", 7.8 , 0.8 ," 59,601 "," 4,532 ", 11.8 , 0.9 ," 31,540 "," 3,102 ", 6.3 , 0.6 ," 432,327 "," 9,322 ", 85.7 , 1.0 ," 91,141 "," 5,542 ", 18.1 , 1.1 ,
8,AK,Alaska,At-large," 532,244 "," 2,539 "," 10,640 "," 1,693 ", 2.0 , 0.3 ," 26,444 "," 2,293 ", 5.0 , 0.4 ," 160,451 "," 4,824 ", 30.1 , 0.9 ," 148,709 "," 5,567 ", 27.9 , 1.0 ," 41,699 "," 2,807 ", 7.8 , 0.5 ," 89,107 "," 4,177 ", 16.7 , 0.8 ," 55,194 "," 3,489 ", 10.4 , 0.6 ," 495,160 "," 3,690 ", 93.0 , 0.5 ," 144,301 "," 5,756 ", 27.1 , 1.1 ,
9,AZ,Arizona,1," 568,661 "," 9,203 "," 21,704 "," 2,404 ", 3.8 , 0.4 ," 52,527 "," 4,493 ", 9.2 , 0.7 ," 157,867 "," 6,018 ", 27.8 , 1.0 ," 160,634 "," 6,511 ", 28.2 , 1.1 ," 47,496 "," 4,015 ", 8.4 , 0.7 ," 76,331 "," 4,507 ", 13.4 , 0.8 ," 52,102 "," 3,687 ", 9.2 , 0.6 ," 494,430 "," 9,136 ", 86.9 , 0.9 ," 128,433 "," 6,095 ", 22.6 , 1.0 ,
10,AZ,Arizona,2," 550,044 "," 9,439 "," 11,867 "," 2,153 ", 2.2 , 0.4 ," 34,149 "," 3,129 ", 6.2 , 0.6 ," 129,115 "," 5,605 ", 23.5 , 1.0 ," 155,015 "," 5,947 ", 28.2 , 1.0 ," 51,429 "," 4,005 ", 9.3 , 0.7 ," 100,306 "," 4,702 ", 18.2 , 0.7 ," 68,163 "," 3,691 ", 12.4 , 0.7 ," 504,028 "," 8,964 ", 91.6 , 0.7 ," 168,469 "," 5,996 ", 30.6 , 0.9 ,
