Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
1,AL,Alabama,1," 544,464 "," 3,424 "," 379,018 "," 2,294 ", 69.6 , 0.4 ," 144,187 "," 4,134 ", 26.5 , 0.7 ," 6,506 "," 1,048 ", 1.2 , 0.2 , N , N , N , N , N , N , N , N ," 2,884 "," 1,365 ", 0.5 , 0.3 ," 7,325 "," 3,134 ", 1.3 , 0.6 ," 11,678 "," 1,192 ", 2.1 , 0.2 ," 370,443 "," 1,879 ", 68.0 , 0.4 
2,AL,Alabama,2," 516,295 "," 5,674 "," 338,162 "," 2,699 ", 65.5 , 0.7 ," 162,707 "," 5,053 ", 31.5 , 0.7 ," 3,817 "," 1,075 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 1,818 ", 632 , 0.4 , 0.1 ," 7,705 "," 3,264 ", 1.5 , 0.6 ," 9,755 "," 1,007 ", 1.9 , 0.2 ," 331,192 "," 2,414 ", 64.1 , 0.7 
3,AL,Alabama,3," 543,854 "," 4,099 "," 390,539 "," 3,116 ", 71.8 , 0.6 ," 139,026 "," 3,205 ", 25.6 , 0.5 ," 4,028 "," 1,107 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 2,448 "," 1,432 ", 0.5 , 0.3 ," 6,754 "," 3,166 ", 1.2 , 0.6 ," 12,241 "," 1,773 ", 2.3 , 0.3 ," 381,547 "," 2,690 ", 70.2 , 0.5 
4,AL,Alabama,4," 515,701 "," 4,678 "," 459,105 "," 4,697 ", 89.0 , 0.5 ," 39,714 "," 3,332 ", 7.7 , 0.6 , N , N , N , N , N , N , N , N , N , N , N , N ," 3,529 "," 1,563 ", 0.7 , 0.3 ," 8,327 "," 3,467 ", 1.6 , 0.7 ," 11,700 "," 1,626 ", 2.3 , 0.3 ," 451,856 "," 4,178 ", 87.6 , 0.5 
5,AL,Alabama,5," 551,968 "," 2,121 "," 427,462 "," 1,491 ", 77.4 , 0.3 ," 99,160 "," 1,830 ", 18.0 , 0.3 ," 5,209 "," 1,067 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 5,852 "," 1,539 ", 1.1 , 0.3 ," 12,317 "," 3,228 ", 2.2 , 0.6 ," 14,670 "," 1,569 ", 2.7 , 0.3 ," 420,181 ", 722 , 76.1 , 0.3 
6,AL,Alabama,6," 535,753 "," 7,635 "," 431,768 "," 6,275 ", 80.6 , 1.0 ," 82,560 "," 7,411 ", 15.4 , 1.4 ," 7,642 "," 1,708 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N ," 5,066 "," 2,061 ", 0.9 , 0.4 ," 9,103 "," 4,182 ", 1.7 , 0.8 ," 12,660 "," 2,542 ", 2.4 , 0.5 ," 423,727 "," 6,006 ", 79.1 , 1.0 
7,AL,Alabama,7," 504,177 "," 9,052 "," 180,979 "," 6,035 ", 35.9 , 0.9 ," 313,943 "," 6,849 ", 62.3 , 0.9 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 7,621 "," 1,626 ", 1.5 , 0.3 ," 175,060 "," 5,965 ", 34.7 , 0.9 
8,AK,Alaska,At-large," 532,244 "," 2,539 "," 368,438 "," 2,822 ", 69.2 , 0.5 ," 17,519 "," 1,558 ", 3.3 , 0.3 ," 26,468 "," 2,068 ", 5.0 , 0.4 ," 75,676 "," 4,187 ", 14.2 , 0.8 ," 4,320 "," 1,128 ", 0.8 , 0.2 ," 6,980 "," 1,974 ", 1.3 , 0.4 ," 33,181 "," 3,446 ", 6.2 , 0.6 ," 31,790 "," 1,004 ", 6.0 , 0.2 ," 349,058 "," 1,415 ", 65.6 , 0.3 
9,AZ,Arizona,1," 568,661 "," 9,203 "," 388,200 "," 7,933 ", 68.3 , 0.9 ," 16,019 "," 2,753 ", 2.8 , 0.5 ," 6,283 "," 1,272 ", 1.1 , 0.2 ," 124,578 "," 5,839 ", 21.9 , 1.0 , N , N , N , N ," 16,627 "," 3,857 ", 2.9 , 0.7 ," 17,080 "," 4,240 ", 3.0 , 0.7 ," 107,249 "," 6,519 ", 18.9 , 1.0 ," 309,394 "," 6,464 ", 54.4 , 0.9 
10,AZ,Arizona,2," 550,044 "," 9,439 "," 458,052 "," 7,628 ", 83.3 , 1.0 ," 20,701 "," 2,295 ", 3.8 , 0.4 ," 14,034 "," 2,005 ", 2.6 , 0.3 ," 9,940 "," 3,942 ", 1.8 , 0.7 , N , N , N , N ," 25,168 "," 3,565 ", 4.6 , 0.6 ," 21,864 "," 3,179 ", 4.0 , 0.6 ," 130,624 "," 6,725 ", 23.7 , 1.0 ," 365,443 "," 6,487 ", 66.4 , 1.1 
11,AZ,Arizona,3," 500,787 "," 12,277 "," 357,944 "," 11,584 ", 71.5 , 1.6 ," 28,175 "," 4,435 ", 5.6 , 0.9 ," 9,604 "," 2,217 ", 1.9 , 0.4 ," 26,382 "," 2,701 ", 5.3 , 0.5 , N , N , N , N ," 59,120 "," 7,236 ", 11.8 , 1.4 ," 18,519 "," 2,913 ", 3.7 , 0.6 ," 267,591 "," 10,421 ", 53.4 , 1.3 ," 174,893 "," 7,175 ", 34.9 , 1.3 
12,AZ,Arizona,4," 633,528 "," 10,386 "," 578,190 "," 9,919 ", 91.3 , 0.7 ," 11,176 "," 2,843 ", 1.8 , 0.4 ," 7,942 "," 1,407 ", 1.3 , 0.2 ," 8,582 "," 2,040 ", 1.4 , 0.3 , N , N , N , N ," 11,112 "," 2,863 ", 1.8 , 0.4 ," 15,000 "," 2,762 ", 2.4 , 0.4 ," 99,681 "," 6,678 ", 15.7 , 0.9 ," 495,800 "," 7,535 ", 78.3 , 1.0 
13,AZ,Arizona,5," 587,681 "," 10,348 "," 507,420 "," 10,915 ", 86.3 , 0.9 ," 22,836 "," 3,672 ", 3.9 , 0.6 ," 22,282 "," 2,918 ", 3.8 , 0.5 ," 7,605 "," 3,282 ", 1.3 , 0.6 , N , N , N , N ," 13,416 "," 2,764 ", 2.3 , 0.5 ," 13,467 "," 2,050 ", 2.3 , 0.3 ," 79,986 "," 6,029 ", 13.6 , 1.0 ," 445,503 "," 10,611 ", 75.8 , 1.3 
14,AZ,Arizona,6," 577,899 "," 11,084 "," 506,970 "," 11,212 ", 87.7 , 1.1 ," 20,018 "," 4,809 ", 3.5 , 0.8 ," 18,222 "," 3,605 ", 3.2 , 0.6 ," 8,632 "," 3,559 ", 1.5 , 0.6 , N , N , N , N ," 9,807 "," 1,734 ", 1.7 , 0.3 ," 13,635 "," 2,629 ", 2.4 , 0.5 ," 69,238 "," 6,073 ", 12.0 , 1.0 ," 451,867 "," 10,131 ", 78.2 , 1.2 
