Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
1,AL,Alabama,1," 544,464 "," 3,424 "," 256,603 "," 2,312 ", 47.1 , 0.3 ," 287,861 "," 2,175 ", 52.9 , 0.3 ," 532,906 "," 4,244 "," 76,483 "," 6,772 ", 14.4 , 1.3 ,,,,,,,,,,,
2,AL,Alabama,2," 516,295 "," 5,674 "," 243,971 "," 3,467 ", 47.3 , 0.4 ," 272,324 "," 3,369 ", 52.7 , 0.4 ," 498,215 "," 6,078 "," 75,815 "," 5,500 ", 15.2 , 1.1 ,,,,,,,,,,,
3,AL,Alabama,3," 543,854 "," 4,099 "," 261,066 "," 2,813 ", 48.0 , 0.3 ," 282,788 "," 2,387 ", 52.0 , 0.3 ," 526,264 "," 4,581 "," 88,748 "," 6,737 ", 16.9 , 1.3 ,,,,,,,,,,,
4,AL,Alabama,4," 515,701 "," 4,678 "," 248,166 "," 3,029 ", 48.1 , 0.3 ," 267,535 "," 2,859 ", 51.9 , 0.3 ," 509,407 "," 4,836 "," 70,775 "," 4,705 ", 13.9 , 0.9 ,,,,,,,,,,,
5,AL,Alabama,5," 551,968 "," 2,121 "," 267,633 "," 1,788 ", 48.5 , 0.2 ," 284,335 "," 1,610 ", 51.5 , 0.2 ," 537,668 "," 2,826 "," 61,196 "," 5,668 ", 11.4 , 1.1 ,,,,,,,,,,,
6,AL,Alabama,6," 535,753 "," 7,635 "," 255,440 "," 5,227 ", 47.7 , 0.5 ," 280,313 "," 4,313 ", 52.3 , 0.5 ," 524,830 "," 7,733 "," 48,300 "," 4,906 ", 9.2 , 1.0 ,,,,,,,,,,,
7,AL,Alabama,7," 504,177 "," 9,052 "," 230,516 "," 5,232 ", 45.7 , 0.6 ," 273,661 "," 5,749 ", 54.3 , 0.6 ," 481,363 "," 9,041 "," 103,655 "," 6,623 ", 21.5 , 1.4 ,,,,,,,,,,,
8,AK,Alaska,At-large," 532,244 "," 2,539 "," 279,792 "," 1,890 ", 52.6 , 0.3 ," 252,452 "," 2,008 ", 47.4 , 0.3 ," 519,019 "," 2,513 "," 51,051 "," 4,246 ", 9.8 , 0.8 ,,,,,,,,,,,
9,AZ,Arizona,1," 568,661 "," 9,203 "," 283,123 "," 6,171 ", 49.8 , 0.6 ," 285,538 "," 4,989 ", 50.2 , 0.6 ," 536,962 "," 8,900 "," 89,883 "," 5,688 ", 16.7 , 1.0 ,,,,,,,,,,,
10,AZ,Arizona,2," 550,044 "," 9,439 "," 267,865 "," 6,098 ", 48.7 , 0.6 ," 282,179 "," 5,352 ", 51.3 , 0.6 ," 533,913 "," 9,463 "," 62,901 "," 5,465 ", 11.8 , 0.9 ,,,,,,,,,,,
11,AZ,Arizona,3," 500,787 "," 12,277 "," 256,566 "," 8,010 ", 51.2 , 0.9 ," 244,221 "," 7,182 ", 48.8 , 0.9 ," 478,150 "," 12,581 "," 72,311 "," 5,536 ", 15.1 , 1.1 ,,,,,,,,,,,
12,AZ,Arizona,4," 633,528 "," 10,386 "," 318,974 "," 6,574 ", 50.3 , 0.5 ," 314,554 "," 5,561 ", 49.7 , 0.5 ," 610,113 "," 10,165 "," 68,749 "," 5,492 ", 11.3 , 0.9 ,,,,,,,,,,,
13,AZ,Arizona,5," 587,681 "," 10,348 "," 283,913 "," 7,022 ", 48.3 , 0.7 ," 303,768 "," 6,090 ", 51.7 , 0.7 ," 586,067 "," 10,340 "," 37,227 "," 3,805 ", 6.4 , 0.7 ,,,,,,,,,,,
