Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1", Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Voting Rate Estimate , Voting Rate Margin of error (MOE) ,,,,,,,,,,
1,AL,Alabama,1," 242,617 "," 544,464 "," 3,424 ", 44.6 , 0.3 ,,,,,,,,,,
2,AL,Alabama,2," 226,230 "," 516,295 "," 5,674 ", 43.8 , 0.5 ,,,,,,,,,,
3,AL,Alabama,3," 231,915 "," 543,854 "," 4,099 ", 42.6 , 0.3 ,,,,,,,,,,
4,AL,Alabama,4," 230,969 "," 515,701 "," 4,678 ", 44.8 , 0.4 ,,,,,,,,,,
5,AL,Alabama,5," 260,673 "," 551,968 "," 2,121 ", 47.2 , 0.2 ,,,,,,,,,,
6,AL,Alabama,6," 278,328 "," 535,753 "," 7,635 ", 52.0 , 0.7 ,,,,,,,,,,
7,AL,Alabama,7," 189,163 "," 504,177 "," 9,052 ", 37.5 , 0.7 ,,,,,,,,,,
8,AK,Alaska,At-large," 282,166 "," 532,244 "," 2,539 ", 53.0 , 0.3 ,,,,,,,,,,
9,AZ,Arizona,1," 266,089 "," 568,661 "," 9,203 ", 46.8 , 0.8 ,,,,,,,,,,
10,AZ,Arizona,2," 294,152 "," 550,044 "," 9,439 ", 53.5 , 0.9 ,,,,,,,,,,
11,AZ,Arizona,3," 179,518 "," 500,787 "," 12,277 ", 35.8 , 0.9 ,,,,,,,,,,
12,AZ,Arizona,4," 277,035 "," 633,528 "," 10,386 ", 43.7 , 0.7 ,,,,,,,,,,
13,AZ,Arizona,5," 313,064 "," 587,681 "," 10,348 ", 53.3 , 0.9 ,,,,,,,,,,
14,AZ,Arizona,6," 313,699 "," 577,899 "," 11,084 ", 54.3 , 1.0 ,,,,,,,,,,
15,AZ,Arizona,7," 132,051 "," 454,957 "," 12,175 ", 29.0 , 0.8 ,,,,,,,,,,
16,AZ,Arizona,8," 304,417 "," 599,423 "," 9,645 ", 50.8 , 0.8 ,,,,,,,,,,
17,AZ,Arizona,9," 261,245 "," 562,791 "," 12,216 ", 46.4 , 1.0 ,,,,,,,,,,
18,AR,Arkansas,1," 201,245 "," 548,710 "," 3,198 ", 36.7 , 0.2 ,,,,,,,,,,
19,AR,Arkansas,2," 253,453 "," 570,220 "," 3,398 ", 44.4 , 0.3 ,,,,,,,,,,
20,AR,Arkansas,3," 229,568 "," 573,113 "," 5,357 ", 40.1 , 0.4 ,,,,,,,,,,
21,AR,Arkansas,4," 204,892 "," 532,069 "," 4,667 ", 38.5 , 0.3 ,,,,,,,,,,
22,CA,California,1," 291,594 "," 553,702 "," 4,675 ", 52.7 , 0.4 ,,,,,,,,,,
23,CA,California,2," 315,657 "," 534,951 "," 6,691 ", 59.0 , 0.7 ,,,,,,,,,,
24,CA,California,3," 232,251 "," 504,299 "," 7,222 ", 46.1 , 0.7 ,,,,,,,,,,
25,CA,California,4," 340,654 "," 573,118 "," 5,649 ", 59.4 , 0.6 ,,,,,,,,,,
26,CA,California,5," 261,018 "," 508,369 "," 9,829 ", 51.3 , 1.0 ,,,,,,,,,,
27,CA,California,6," 201,939 "," 506,434 "," 10,206 ", 39.9 , 0.8 ,,,,,,,,,,
28,CA,California,7," 281,617 "," 537,436 "," 8,063 ", 52.4 , 0.8 ,,,,,,,,,,
29,CA,California,8," 170,785 "," 477,512 "," 10,385 ", 35.8 , 0.8 ,,,,,,,,,,
30,CA,California,9," 200,763 "," 482,967 "," 8,819 ", 41.6 , 0.8 ,,,,,,,,,,
