,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,18-29 Age Estimate,18-29 Age Percent of total,30-44 Age Estimate,30-44 Age Percent of total,45-64 Age Estimate,45-64 Age Percent of total,65+ Age Estimate,65+ Age Percent of total
0,AL-1,AL,Alabama,1,544464,104060,19.1,125900,23.1,188031,34.5,126473,23.2
1,AL-2,AL,Alabama,2,516295,109222,21.2,118999,23.0,173351,33.6,114723,22.2
2,AL-3,AL,Alabama,3,543854,121328,22.3,121212,22.3,182379,33.5,118935,21.9
3,AL-4,AL,Alabama,4,515701,95990,18.6,114921,22.3,177247,34.4,127543,24.7
4,AL-5,AL,Alabama,5,551968,109986,19.9,129788,23.5,193348,35.0,118846,21.5
5,AL-6,AL,Alabama,6,535753,101646,19.0,133635,24.9,182710,34.1,117762,22.0
6,AL-7,AL,Alabama,7,504177,126572,25.1,114337,22.7,162887,32.3,100381,19.9
7,AK-At-large,AK,Alaska,At-large,532244,127476,24.0,144647,27.2,174789,32.8,85332,16.0
8,AZ-1,AZ,Arizona,1,568661,124100,21.8,129362,22.7,169734,29.8,145465,25.6
9,AZ-2,AZ,Arizona,2,550044,116061,21.1,114471,20.8,166939,30.4,152573,27.7
10,AZ-3,AZ,Arizona,3,500787,146929,29.3,122468,24.5,143475,28.6,87915,17.6
11,AZ-4,AZ,Arizona,4,633528,95038,15.0,118494,18.7,201308,31.8,218688,34.5
12,AZ-5,AZ,Arizona,5,587681,106103,18.1,155762,26.5,190794,32.5,135022,23.0
13,AZ-6,AZ,Arizona,6,577899,104945,18.2,124931,21.6,202991,35.1,145032,25.1
14,AZ-7,AZ,Arizona,7,454957,153294,33.7,120219,26.4,127158,27.9,54286,11.9
15,AZ-8,AZ,Arizona,8,599423,100261,16.7,131595,22.0,189019,31.5,178548,29.8
16,AZ-9,AZ,Arizona,9,562791,160510,28.5,141929,25.2,170213,30.2,90139,16.0
17,AR-1,AR,Arkansas,1,548710,106231,19.4,128779,23.5,183306,33.4,130394,23.8
18,AR-2,AR,Arkansas,2,570220,123752,21.7,138990,24.4,186961,32.8,120517,21.1
19,AR-3,AR,Arkansas,3,573113,134210,23.4,143907,25.1,179259,31.3,115737,20.2
20,AR-4,AR,Arkansas,4,532069,105713,19.9,110275,20.7,179824,33.8,136257,25.6
21,CA-1,CA,California,1,553702,112448,20.3,109556,19.8,177833,32.1,153865,27.8
22,CA-2,CA,California,2,534951,86946,16.3,110075,20.6,187221,35.0,150709,28.2
23,CA-3,CA,California,3,504299,128483,25.5,117545,23.3,158659,31.5,99612,19.8
24,CA-4,CA,California,4,573118,91864,16.0,121814,21.3,203386,35.5,156054,27.2
25,CA-5,CA,California,5,508369,96576,19.0,116637,22.9,172776,34.0,122380,24.1
26,CA-6,CA,California,6,506434,124359,24.6,140392,27.7,152039,30.0,89644,17.7
27,CA-7,CA,California,7,537436,102634,19.1,131950,24.6,186789,34.8,116063,21.6
28,CA-8,CA,California,8,477512,109039,22.8,117970,24.7,157700,33.0,92803,19.4
29,CA-9,CA,California,9,482967,109840,22.7,115502,23.9,162695,33.7,94930,19.7
