,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Less than 9th grade Estimate,Less than 9th grade Percent of total,"9th to 12 Grade, no diploma Estimate","9th to 12 Grade, no diploma Percent of total",High school graduate Estimate,High school graduate Percent of total,"Some college, no degree Estimate","Some college, no degree Percent of total",Associates degree Estimate,Associates degree Percent of total,Bachelors degree Estimate,Bachelors degree Percent of total,Graduate degree Estimate,Graduate degree Percent of total,High school or more Estimate,High school or more Percent of total,Bachelors degree or more Estimate,Bachelors degree or more Percent of total
0,AL-1,AL,Alabama,1,544464,13409,2.5,57234,10.5,185503,34.1,122236,22.5,42603,7.8,82971,15.2,40508,7.4,473821,87.0,123479,22.7
1,AL-2,AL,Alabama,2,516295,18295,3.5,53192,10.3,172427,33.4,119350,23.1,45677,8.8,69082,13.4,38272,7.4,444808,86.2,107354,20.8
2,AL-3,AL,Alabama,3,543854,19578,3.6,56833,10.5,174209,32.0,142705,26.2,45713,8.4,63916,11.8,40900,7.5,467443,86.0,104816,19.3
3,AL-4,AL,Alabama,4,515701,24346,4.7,57850,11.2,175806,34.1,121739,23.6,51436,10.0,52697,10.2,31827,6.2,433505,84.1,84524,16.4
4,AL-5,AL,Alabama,5,551968,14908,2.7,43805,7.9,151609,27.5,123272,22.3,45097,8.2,113417,20.5,59860,10.8,493255,89.4,173277,31.4
5,AL-6,AL,Alabama,6,535753,11300,2.1,36957,6.9,140443,26.2,123459,23.0,40976,7.6,117006,21.8,65612,12.2,487496,91.0,182618,34.1
6,AL-7,AL,Alabama,7,504177,16616,3.3,55234,11.0,168045,33.3,133839,26.5,39302,7.8,59601,11.8,31540,6.3,432327,85.7,91141,18.1
7,AK-At-large,AK,Alaska,At-large,532244,10640,2.0,26444,5.0,160451,30.1,148709,27.9,41699,7.8,89107,16.7,55194,10.4,495160,93.0,144301,27.1
8,AZ-1,AZ,Arizona,1,568661,21704,3.8,52527,9.2,157867,27.8,160634,28.2,47496,8.4,76331,13.4,52102,9.2,494430,86.9,128433,22.6
9,AZ-2,AZ,Arizona,2,550044,11867,2.2,34149,6.2,129115,23.5,155015,28.2,51429,9.3,100306,18.2,68163,12.4,504028,91.6,168469,30.6
10,AZ-3,AZ,Arizona,3,500787,30121,6.0,57088,11.4,148104,29.6,141914,28.3,45173,9.0,53824,10.7,24563,4.9,413578,82.6,78387,15.7
11,AZ-4,AZ,Arizona,4,633528,17595,2.8,52748,8.3,192527,30.4,192003,30.3,59051,9.3,77875,12.3,41729,6.6,563185,88.9,119604,18.9
12,AZ-5,AZ,Arizona,5,587681,8798,1.5,27681,4.7,128346,21.8,160076,27.2,53374,9.1,138201,23.5,71205,12.1,551202,93.8,209406,35.6
13,AZ-6,AZ,Arizona,6,577899,8834,1.5,25687,4.4,107601,18.6,139842,24.2,47995,8.3,158055,27.3,89885,15.6,543378,94.0,247940,42.9
14,AZ-7,AZ,Arizona,7,454957,34537,7.6,53791,11.8,140351,30.8,117031,25.7,34665,7.6,50781,11.2,23801,5.2,366629,80.6,74582,16.4
15,AZ-8,AZ,Arizona,8,599423,13530,2.3,31603,5.3,155411,25.9,167411,27.9,56366,9.4,111662,18.6,63440,10.6,554290,92.5,175102,29.2
16,AZ-9,AZ,Arizona,9,562791,11269,2.0,26068,4.6,109598,19.5,155775,27.7,50960,9.1,137924,24.5,71197,12.7,525454,93.4,209121,37.2
17,AR-1,AR,Arkansas,1,548710,24944,4.5,53594,9.8,208663,38.0,128267,23.4,44423,8.1,60603,11.0,28216,5.1,470172,85.7,88819,16.2
18,AR-2,AR,Arkansas,2,570220,14879,2.6,40792,7.2,172669,30.3,140151,24.6,44106,7.7,97692,17.1,59931,10.5,514549,90.2,157623,27.6
