,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,White Estimate,White Percent of total,Black Estimate,Black Percent of total,Asian Estimate,Asian Percent of total,American Indian and Alaska Native Estimate,American Indian and Alaska Native Percent of total,Native Hawaiian and other Pacific Islander Estimate,Native Hawaiian and other Pacific Islander Percent of total,Some other race Estimate,Some other race Percent of total,Two or more races Estimate,Two or more races Percent of total,Hispanic Estimate,Hispanic Percent of total,White non-Hispanic Estimate,White non-Hispanic Percent of total
0,AL-1,AL,Alabama,1,544464,379018,69.6,144187,26.5,6506,1.2,0,0.0,0,0.0,2884,0.5,7325,1.3,11678,2.1,370443,68.0
1,AL-2,AL,Alabama,2,516295,338162,65.5,162707,31.5,3817,0.7,0,0.0,0,0.0,1818,0.4,7705,1.5,9755,1.9,331192,64.1
2,AL-3,AL,Alabama,3,543854,390539,71.8,139026,25.6,4028,0.7,0,0.0,0,0.0,2448,0.5,6754,1.2,12241,2.3,381547,70.2
3,AL-4,AL,Alabama,4,515701,459105,89.0,39714,7.7,0,0.0,0,0.0,0,0.0,3529,0.7,8327,1.6,11700,2.3,451856,87.6
4,AL-5,AL,Alabama,5,551968,427462,77.4,99160,18.0,5209,0.9,0,0.0,0,0.0,5852,1.1,12317,2.2,14670,2.7,420181,76.1
5,AL-6,AL,Alabama,6,535753,431768,80.6,82560,15.4,7642,1.4,0,0.0,0,0.0,5066,0.9,9103,1.7,12660,2.4,423727,79.1
6,AL-7,AL,Alabama,7,504177,180979,35.9,313943,62.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7621,1.5,175060,34.7
7,AK-At-large,AK,Alaska,At-large,532244,368438,69.2,17519,3.3,26468,5.0,75676,14.2,4320,0.8,6980,1.3,33181,6.2,31790,6.0,349058,65.6
8,AZ-1,AZ,Arizona,1,568661,388200,68.3,16019,2.8,6283,1.1,124578,21.9,0,0.0,16627,2.9,17080,3.0,107249,18.9,309394,54.4
9,AZ-2,AZ,Arizona,2,550044,458052,83.3,20701,3.8,14034,2.6,9940,1.8,0,0.0,25168,4.6,21864,4.0,130624,23.7,365443,66.4
10,AZ-3,AZ,Arizona,3,500787,357944,71.5,28175,5.6,9604,1.9,26382,5.3,0,0.0,59120,11.8,18519,3.7,267591,53.4,174893,34.9
11,AZ-4,AZ,Arizona,4,633528,578190,91.3,11176,1.8,7942,1.3,8582,1.4,0,0.0,11112,1.8,15000,2.4,99681,15.7,495800,78.3
12,AZ-5,AZ,Arizona,5,587681,507420,86.3,22836,3.9,22282,3.8,7605,1.3,0,0.0,13416,2.3,13467,2.3,79986,13.6,445503,75.8
13,AZ-6,AZ,Arizona,6,577899,506970,87.7,20018,3.5,18222,3.2,8632,1.5,0,0.0,9807,1.7,13635,2.4,69238,12.0,451867,78.2
14,AZ-7,AZ,Arizona,7,454957,317721,69.8,52274,11.5,10856,2.4,18769,4.1,0,0.0,37487,8.2,18298,4.0,231252,50.8,141414,31.1
15,AZ-8,AZ,Arizona,8,599423,510303,85.1,28428,4.7,20387,3.4,0,0.0,0,0.0,17439,2.9,15934,2.7,94705,15.8,441353,73.6
16,AZ-9,AZ,Arizona,9,562791,442582,78.6,36493,6.5,21686,3.9,18138,3.2,0,0.0,21432,3.8,19896,3.5,108397,19.3,365415,64.9
17,AR-1,AR,Arkansas,1,548710,438139,79.8,87917,16.0,0,0.0,0,0.0,0,0.0,4421,0.8,16059,2.9,11266,2.1,431129,78.6
18,AR-2,AR,Arkansas,2,570220,422355,74.1,128263,22.5,6177,1.1,0,0.0,0,0.0,3314,0.6,8778,1.5,13186,2.3,413714,72.6
19,AR-3,AR,Arkansas,3,573113,500760,87.4,18315,3.2,12673,2.2,0,0.0,1735,0.3,19983,3.5,13215,2.3,46024,8.0,476885,83.2
20,AR-4,AR,Arkansas,4,532069,411637,77.4,100650,18.9,3019,0.6,0,0.0,0,0.0,6858,1.3,7232,1.4,15662,2.9,403409,75.8
21,CA-1,CA,California,1,553702,485784,87.7,10767,1.9,12127,2.2,9608,1.7,0,0.0,14141,2.6,21522,3.9,58536,10.6,445921,80.5
22,CA-2,CA,California,2,534951,454414,84.9,8870,1.7,19514,3.6,11655,2.2,0,0.0,19112,3.6,20970,3.9,61074,11.4,418700,78.3
23,CA-3,CA,California,3,504299,359233,71.2,35270,7.0,52394,10.4,5960,1.2,0,0.0,22185,4.4,25321,5.0,109241,21.7,280363,55.6
24,CA-4,CA,California,4,573118,497366,86.8,0,0.0,27898,4.9,0,0.0,0,0.0,11868,2.1,23354,4.1,64548,11.3,450006,78.5
25,CA-5,CA,California,5,508369,351083,69.1,34910,6.9,56492,11.1,0,0.0,0,0.0,37843,7.4,21549,4.2,97104,19.1,301558,59.3
26,CA-6,CA,California,6,506434,271180,53.5,71316,14.1,83265,16.4,0,0.0,5553,1.1,40599,8.0,30155,6.0,111950,22.1,215048,42.5
