,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Men Estimate,Men Percent of total,Women Estimate,Women Percent of total,Poverty universe,Below poverty level Estimate,Below poverty level Percent of total
0,AL-1,AL,Alabama,1,544464,256603,47.1,287861,52.9,532906,76483,14.4
1,AL-2,AL,Alabama,2,516295,243971,47.3,272324,52.7,498215,75815,15.2
2,AL-3,AL,Alabama,3,543854,261066,48.0,282788,52.0,526264,88748,16.9
3,AL-4,AL,Alabama,4,515701,248166,48.1,267535,51.9,509407,70775,13.9
4,AL-5,AL,Alabama,5,551968,267633,48.5,284335,51.5,537668,61196,11.4
5,AL-6,AL,Alabama,6,535753,255440,47.7,280313,52.3,524830,48300,9.2
6,AL-7,AL,Alabama,7,504177,230516,45.7,273661,54.3,481363,103655,21.5
7,AK-At-large,AK,Alaska,At-large,532244,279792,52.6,252452,47.4,519019,51051,9.8
8,AZ-1,AZ,Arizona,1,568661,283123,49.8,285538,50.2,536962,89883,16.7
9,AZ-2,AZ,Arizona,2,550044,267865,48.7,282179,51.3,533913,62901,11.8
10,AZ-3,AZ,Arizona,3,500787,256566,51.2,244221,48.8,478150,72311,15.1
11,AZ-4,AZ,Arizona,4,633528,318974,50.3,314554,49.7,610113,68749,11.3
12,AZ-5,AZ,Arizona,5,587681,283913,48.3,303768,51.7,586067,37227,6.4
13,AZ-6,AZ,Arizona,6,577899,279903,48.4,297996,51.6,576110,44701,7.8
14,AZ-7,AZ,Arizona,7,454957,226970,49.9,227987,50.1,447394,67279,15.0
15,AZ-8,AZ,Arizona,8,599423,281157,46.9,318266,53.1,589749,38999,6.6
16,AZ-9,AZ,Arizona,9,562791,280089,49.8,282702,50.2,552135,60388,10.9
17,AR-1,AR,Arkansas,1,548710,270423,49.3,278287,50.7,522923,89589,17.1
18,AR-2,AR,Arkansas,2,570220,271053,47.5,299167,52.5,555802,75688,13.6
19,AR-3,AR,Arkansas,3,573113,277923,48.5,295190,51.5,557687,67436,12.1
20,AR-4,AR,Arkansas,4,532069,255252,48.0,276817,52.0,514124,86232,16.8
21,CA-1,CA,California,1,553702,276469,49.9,277233,50.1,534889,77504,14.5
22,CA-2,CA,California,2,534951,262941,49.2,272010,50.8,522186,53649,10.3
23,CA-3,CA,California,3,504299,246961,49.0,257338,51.0,489655,65293,13.3
24,CA-4,CA,California,4,573118,286496,50.0,286622,50.0,562791,44632,7.9
25,CA-5,CA,California,5,508369,242276,47.7,266093,52.3,501445,41040,8.2
26,CA-6,CA,California,6,506434,244392,48.3,262042,51.7,499803,64734,13.0
27,CA-7,CA,California,7,537436,259003,48.2,278433,51.8,530517,50715,9.6
28,CA-8,CA,California,8,477512,240107,50.3,237405,49.7,465044,68015,14.6
29,CA-9,CA,California,9,482967,234940,48.6,248027,51.4,473224,50332,10.6
30,CA-10,CA,California,10,493409,242938,49.2,250471,50.8,488503,51924,10.6
31,CA-11,CA,California,11,508963,245241,48.2,263722,51.8,503806,35217,7.0
32,CA-12,CA,California,12,571300,292211,51.1,279089,48.9,563530,54323,9.6
33,CA-13,CA,California,13,536892,253135,47.1,283757,52.9,523587,59812,11.4
34,CA-14,CA,California,14,511049,249886,48.9,261163,51.1,505623,30509,6.0
35,CA-15,CA,California,15,503361,248705,49.4,254656,50.6,498277,24930,5.0
36,CA-16,CA,California,16,423147,210027,49.6,213120,50.4,406162,81954,20.2
37,CA-17,CA,California,17,438374,224282,51.2,214092,48.8,430314,28312,6.6
38,CA-18,CA,California,18,491580,239626,48.7,251954,51.3,480245,28612,6.0
39,CA-19,CA,California,19,482363,238475,49.4,243888,50.6,477211,36308,7.6
40,CA-20,CA,California,20,434889,216679,49.8,218210,50.2,411682,38475,9.3
41,CA-21,CA,California,21,354669,190018,53.6,164651,46.4,323856,57483,17.7
42,CA-22,CA,California,22,483064,228078,47.2,254986,52.8,478408,58757,12.3
43,CA-23,CA,California,23,490446,247112,50.4,243334,49.6,477323,75310,15.8
44,CA-24,CA,California,24,508333,253408,49.9,254925,50.1,478763,60133,12.6
45,CA-25,CA,California,25,482964,235314,48.7,247650,51.3,475581,48804,10.3
46,CA-26,CA,California,26,480928,235049,48.9,245879,51.1,471915,33106,7.0
47,CA-27,CA,California,27,471963,224505,47.6,247458,52.4,463381,41601,9.0
48,CA-28,CA,California,28,502971,246827,49.1,256144,50.9,499140,53429,10.7
49,CA-29,CA,California,29,402898,196524,48.8,206374,51.2,399807,45157,11.3
50,CA-30,CA,California,30,529846,256236,48.4,273610,51.6,523743,43908,8.4
51,CA-31,CA,California,31,482081,230379,47.8,251702,52.2,464860,51108,11.0
52,CA-32,CA,California,32,449452,213040,47.4,236412,52.6,441456,38130,8.6
53,CA-33,CA,California,33,517251,251819,48.7,265432,51.3,500426,37349,7.5
54,CA-34,CA,California,34,425520,215755,50.7,209765,49.3,408807,70687,17.3
55,CA-35,CA,California,35,450565,220837,49.0,229728,51.0,440052,41460,9.4
56,CA-36,CA,California,36,536333,262414,48.9,273919,51.1,528270,68097,12.9
57,CA-37,CA,California,37,468463,223584,47.7,244879,52.3,459415,61771,13.4
58,CA-38,CA,California,38,481296,233542,48.5,247754,51.5,474994,38012,8.0
59,CA-39,CA,California,39,486713,233873,48.1,252840,51.9,482420,32182,6.7
60,CA-40,CA,California,40,340435,165988,48.8,174447,51.2,338726,46300,13.7
61,CA-41,CA,California,41,478613,237023,49.5,241590,50.5,463587,51104,11.0
62,CA-42,CA,California,42,538265,269677,50.1,268588,49.9,533812,38700,7.2
63,CA-43,CA,California,43,454185,213003,46.9,241182,53.1,448459,48133,10.7
64,CA-44,CA,California,44,395819,188238,47.6,207581,52.4,391379,54905,14.0
65,CA-45,CA,California,45,532802,259823,48.8,272979,51.2,524647,38768,7.4
66,CA-46,CA,California,46,408633,201808,49.4,206825,50.6,397295,45856,11.5
67,CA-47,CA,California,47,491712,239510,48.7,252202,51.3,486226,50414,10.4
68,CA-48,CA,California,48,529832,261462,49.3,268370,50.7,528025,41904,7.9
69,CA-49,CA,California,49,519302,259293,49.9,260009,50.1,502167,31322,6.2
70,CA-50,CA,California,50,513522,254481,49.6,259041,50.4,508243,42991,8.5
71,CA-51,CA,California,51,445034,231666,52.1,213368,47.9,417314,61130,14.6
72,CA-52,CA,California,52,546843,277751,50.8,269092,49.2,523070,39255,7.5
73,CA-53,CA,California,53,563962,280508,49.7,283454,50.3,555546,53727,9.7
74,CO-1,CO,Colorado,1,619349,309603,50.0,309746,50.0,607672,55734,9.2
75,CO-2,CO,Colorado,2,619285,309961,50.1,309324,49.9,599732,58303,9.7
76,CO-3,CO,Colorado,3,565901,280001,49.5,285900,50.5,552902,67233,12.2
77,CO-4,CO,Colorado,4,598599,302689,50.6,295910,49.4,583283,44288,7.6
78,CO-5,CO,Colorado,5,603967,309714,51.3,294253,48.7,575663,48574,8.4
79,CO-6,CO,Colorado,6,567801,277947,49.0,289854,51.0,562482,30122,5.4
80,CO-7,CO,Colorado,7,576138,283711,49.2,292427,50.8,567731,43603,7.7
81,CT-1,CT,Connecticut,1,523004,247490,47.3,275514,52.7,513017,48741,9.5
82,CT-2,CT,Connecticut,2,548572,272014,49.6,276558,50.4,512850,42018,8.2
83,CT-3,CT,Connecticut,3,535024,251948,47.1,283076,52.9,511818,49435,9.7
84,CT-4,CT,Connecticut,4,496370,234779,47.3,261591,52.7,485611,41943,8.6
85,CT-5,CT,Connecticut,5,511395,246253,48.2,265142,51.8,498350,42611,8.6
86,DE-At-large,DE,Delaware,At-large,720867,343826,47.7,377041,52.3,698953,72431,10.4
87,DC-At-large,DC,District of Columbia,At-large,526393,245922,46.7,280471,53.3,497589,72562,14.6
88,FL-1,FL,Florida,1,601423,300883,50.0,300540,50.0,573824,61279,10.7
89,FL-2,FL,Florida,2,573718,290954,50.7,282764,49.3,531429,71752,13.5
90,FL-3,FL,Florida,3,579993,282160,48.6,297833,51.4,550065,81167,14.8
91,FL-4,FL,Florida,4,614794,301588,49.1,313206,50.9,600574,46523,7.7
92,FL-5,FL,Florida,5,541992,254528,47.0,287464,53.0,515909,99897,19.4
93,FL-6,FL,Florida,6,621566,296982,47.8,324584,52.2,612618,67142,11.0
94,FL-7,FL,Florida,7,581583,282311,48.5,299272,51.5,558487,63702,11.4
95,FL-8,FL,Florida,8,610604,293057,48.0,317547,52.0,604434,56876,9.4
96,FL-9,FL,Florida,9,644898,313560,48.6,331338,51.4,637713,72873,11.4
97,FL-10,FL,Florida,10,546157,262516,48.1,283641,51.9,539800,70483,13.1
98,FL-11,FL,Florida,11,652135,313750,48.1,338385,51.9,637176,69985,11.0
99,FL-12,FL,Florida,12,605983,285091,47.0,320892,53.0,596985,61058,10.2
100,FL-13,FL,Florida,13,584889,281217,48.1,303672,51.9,574243,60632,10.6
101,FL-14,FL,Florida,14,534225,253933,47.5,280292,52.5,523819,69743,13.3
102,FL-15,FL,Florida,15,578715,278594,48.1,300121,51.9,570615,65321,11.4
103,FL-16,FL,Florida,16,638769,302288,47.3,336481,52.7,631712,57125,9.0
104,FL-17,FL,Florida,17,615104,301114,49.0,313990,51.0,602735,67861,11.3
105,FL-18,FL,Florida,18,599873,288462,48.1,311411,51.9,594476,54001,9.1
106,FL-19,FL,Florida,19,631233,300597,47.6,330636,52.4,622071,57652,9.3
