,District,State abbreviation,State name,Congressional district,Votes cast for congressional reps for the Nov 2018 election,Citizen voting-age population Estimate,Voting Rate Estimate
0,AL-1,AL,Alabama,1,242617,544464,44.6
1,AL-2,AL,Alabama,2,226230,516295,43.8
2,AL-3,AL,Alabama,3,231915,543854,42.6
3,AL-4,AL,Alabama,4,230969,515701,44.8
4,AL-5,AL,Alabama,5,260673,551968,47.2
5,AL-6,AL,Alabama,6,278328,535753,52.0
6,AL-7,AL,Alabama,7,189163,504177,37.5
7,AK-At-large,AK,Alaska,At-large,282166,532244,53.0
8,AZ-1,AZ,Arizona,1,266089,568661,46.8
9,AZ-2,AZ,Arizona,2,294152,550044,53.5
10,AZ-3,AZ,Arizona,3,179518,500787,35.8
11,AZ-4,AZ,Arizona,4,277035,633528,43.7
12,AZ-5,AZ,Arizona,5,313064,587681,53.3
13,AZ-6,AZ,Arizona,6,313699,577899,54.3
14,AZ-7,AZ,Arizona,7,132051,454957,29.0
15,AZ-8,AZ,Arizona,8,304417,599423,50.8
16,AZ-9,AZ,Arizona,9,261245,562791,46.4
17,AR-1,AR,Arkansas,1,201245,548710,36.7
18,AR-2,AR,Arkansas,2,253453,570220,44.4
19,AR-3,AR,Arkansas,3,229568,573113,40.1
20,AR-4,AR,Arkansas,4,204892,532069,38.5
21,CA-1,CA,California,1,291594,553702,52.7
22,CA-2,CA,California,2,315657,534951,59.0
23,CA-3,CA,California,3,232251,504299,46.1
24,CA-4,CA,California,4,340654,573118,59.4
25,CA-5,CA,California,5,261018,508369,51.3
26,CA-6,CA,California,6,201939,506434,39.9
27,CA-7,CA,California,7,281617,537436,52.4
28,CA-8,CA,California,8,170785,477512,35.8
29,CA-9,CA,California,9,200763,482967,41.6
30,CA-10,CA,California,10,221900,493409,45.0
31,CA-11,CA,California,11,275681,508963,54.2
32,CA-12,CA,California,12,317072,571300,55.5
33,CA-13,CA,California,13,294837,536892,54.9
34,CA-14,CA,California,14,266823,511049,52.2
35,CA-15,CA,California,15,243929,503361,48.5
36,CA-16,CA,California,16,142959,423147,33.8
37,CA-17,CA,California,17,211162,438374,48.2
38,CA-18,CA,California,18,302238,491580,61.5
39,CA-19,CA,California,19,220319,482363,45.7
40,CA-20,CA,California,20,225721,434889,51.9
41,CA-21,CA,California,21,113616,354669,32.0
42,CA-22,CA,California,22,222379,483064,46.0
43,CA-23,CA,California,23,205774,490446,42.0
44,CA-24,CA,California,24,284431,508333,56.0
45,CA-25,CA,California,25,245022,482964,50.7
46,CA-26,CA,California,26,255426,480928,53.1
47,CA-27,CA,California,27,202636,471963,42.9
48,CA-28,CA,California,28,250934,502971,49.9
49,CA-29,CA,California,29,154692,402898,38.4
50,CA-30,CA,California,30,260993,529846,49.3
51,CA-31,CA,California,31,187495,482081,38.9
52,CA-32,CA,California,32,177031,449452,39.4
53,CA-33,CA,California,33,312860,517251,60.5
54,CA-34,CA,California,34,151906,425520,35.7
55,CA-35,CA,California,35,149024,450565,33.1
56,CA-36,CA,California,36,207008,536333,38.6
57,CA-37,CA,California,37,236378,468463,50.5
58,CA-38,CA,California,38,202156,481296,42.0
59,CA-39,CA,California,39,244393,486713,50.2
60,CA-40,CA,California,40,121449,340435,35.7
61,CA-41,CA,California,41,166248,478613,34.7
62,CA-42,CA,California,42,231932,538265,43.1
63,CA-43,CA,California,43,196052,454185,43.2
64,CA-44,CA,California,44,143322,395819,36.2
65,CA-45,CA,California,45,305289,532802,57.3
66,CA-46,CA,California,46,147916,408633,36.2
67,CA-47,CA,California,47,221036,491712,45.0
68,CA-48,CA,California,48,294736,529832,55.6
69,CA-49,CA,California,49,295030,519302,56.8
70,CA-50,CA,California,50,259810,513522,50.6
71,CA-51,CA,California,51,153828,445034,34.6
72,CA-52,CA,California,52,296007,546843,54.1
73,CA-53,CA,California,53,268794,563962,47.7
74,CO-1,CO,Colorado,1,369715,619349,59.7
75,CO-2,CO,Colorado,2,430765,619285,69.6
76,CO-3,CO,Colorado,3,336201,565901,59.4
77,CO-4,CO,Colorado,4,369621,598599,61.7
78,CO-5,CO,Colorado,5,322716,603967,53.4
79,CO-6,CO,Colorado,6,346822,567801,61.1
80,CO-7,CO,Colorado,7,338067,576138,58.7
